hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
108331,,,,,,,,,
108341,,,,,,,,,
108353,,,,,,,,,
108377,1,1,1,1,1,1,1,1,1
108383,,,,,,,,,
108395,,,,,,,,,
108417,5,5,5,5,5,4,1,1,1
108424,,,,,,,,,
108426,,,,,,,,,
108432,,,,,,,,,
108438,2,2,2,2,2,2,2,2,1
108446,,,,,,,,,
108473,,,,,,,,,
108497,,,,,,,,,
108502,,,,,,,,,
108503,1,1,1,1,1,1,1,1,1
108504,,,,,,,,,
108510,,,,,,,,,
108519,,,,,,,,,
108540,,,,,,,,,
108565,,,,,,,,,
108566,,,,,,,,,
108567,,,,,,,,,
108570,,,,,,,,,
108572,,,,,,,,,
108583,,,,,,,,,
108591,,,,,,,,,
108601,,,,,,,,,
108603,,,,,,,,,
108606,,,,,,,,,
108607,,,,,,,,,
108610,,,,,,,,,
108618,,,,,,,,,
108622,,,,,,,,,
108640,,,,,,,,,
108649,,,,,,,,,
108651,,,,,,,,,
108660,,,,,,,,,
108677,,,,,,,,,
108708,4,4,4,4,4,4,1,1,1
108710,,,,,,,,,
108721,,,,,,,,,
108724,,,,,,,,,
108735,,,,,,,,,
108742,,,,,,,,,
108744,,,,,,,,,
108745,,,,,,,,,
108752,,,,,,,,,
108754,,,,,,,,,
108757,,,,,,,,,
108762,,,,,,,,,
