hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,num_milk_types
114641,1008.0,3916.8,2.86,0.07301879084967319,2
114691,1002.0,3904.0,3.69,0.09451844262295081,2
114691,1004.0,0.0,4.09,,2
114837,1002.0,3904.0,2.99,0.07658811475409837,2
114837,1004.0,7808.0,5.98,0.07658811475409837,2
114848,1002.0,340.2,0.98,0.2880658436213992,2
114848,1004.0,0.0,3.62,,2
114874,1002.0,756.0,1.56,0.20634920634920637,2
114874,1004.0,3904.0,3.38,0.08657786885245901,2
114885,1002.0,488.0,0.0,,2
114885,1008.0,5875.200000000001,4.7299999999999995,0.08050789760348581,2
114936,1004.0,1952.0,2.19,0.11219262295081966,2
114936,1008.0,3916.8,3.08,0.07863562091503268,2
114985,1002.0,3904.0,3.88,0.09938524590163934,2
114985,1008.0,3916.8,3.88,0.09906045751633986,2
115038,1002.0,3904.0,2.99,0.07658811475409837,2
115038,1004.0,3904.0,3.19,0.08171106557377049,2
115090,1004.0,3904.0,3.43,0.08785860655737705,2
115090,1008.0,1958.4,2.65,0.13531454248366012,2
115094,1004.0,0.0,5.98,,2
115094,1006.0,3904.0,2.18,0.055840163934426236,2
115152,1002.0,3904.0,3.77,0.09656762295081966,2
115152,1004.0,0.0,3.39,,2
115331,1002.0,315.0,1.14,0.36190476190476184,2
115331,1004.0,7808.0,5.5600000000000005,0.07120901639344264,2
115402,1002.0,979.2,1.89,0.19301470588235292,2
115402,1004.0,7808.0,7.03,0.09003586065573771,2
115428,1002.0,340.2,0.98,0.2880658436213992,2
115428,1004.0,7808.0,7.4,0.09477459016393443,2
115474,1002.0,979.2,1.42,0.14501633986928103,2
115474,1004.0,3904.0,3.92,0.10040983606557376,2
115523,1004.0,3904.0,3.39,0.08683401639344263,2
115523,1008.0,0.0,3.49,,2
115663,1002.0,7808.0,6.76,0.08657786885245901,2
115663,1004.0,3904.0,0.0,,2
